
                             CF:CF1 PI: ASSEMB  CF:CF2 PI: ASSEMB  CF:CF3 PI: ASSEMB  CF:Magnitude PI:   UT:Magnitude PI:   UT:U1 PI: ASSEMBL  UT:U2 PI: ASSEMBL  UT:U3 PI: ASSEMBL
                  X               LY N: 1            LY N: 1            LY N: 1         ASSEMBLY N: 1      ASSEMBLY N: 1          Y N: 1             Y N: 1             Y N: 1     

                1.9                0.              -230.                 0.               230.                 1.4804E-03         0.                -1.4804E-03         0.         
                1.91667            0.              -230.                 0.               230.                 1.48299E-03        0.                -1.48299E-03        0.         
                1.93333            0.              -230.                 0.               230.                 1.47226E-03        0.                -1.47226E-03        0.         
                1.95               0.              -230.                 0.               230.                 1.46449E-03        0.                -1.46449E-03        0.         
                1.96667            0.              -230.                 0.               230.                 1.46383E-03        0.                -1.46383E-03        0.         
                1.98333            0.              -230.                 0.               230.                 1.46839E-03        0.                -1.46839E-03        0.         
                2.                 0.              -230.                 0.               230.                 1.48135E-03        0.                -1.48135E-03        0.         




